cohort,sample_id,immune_score,stromal_score,estimate_score,tumor_purity,n_immune_genes_covered,n_stromal_genes_covered
Puch,X190511_69F,0.12877462378416885,-0.0696532459076549,0.05912137787651395,0.8357793806857569,140,138
Puch,X190511_52F,0.09060328163659279,-0.03916546250191493,0.051437819134677855,0.8426180029713143,140,138
Puch,X190511_30F,0.13115672836099407,0.005653820069296922,0.136810548430291,0.7594039343001561,140,138
Puch,X190511_39F,0.17050156420846221,0.056481013393465264,0.22698257760192747,0.655475045136519,140,138
Puch,X190511_65F,0.24969417083452594,0.09298888308473433,0.34268305391926024,0.5015970942006772,140,138
Puch,X190511_11F,0.05409482252980352,-0.02453750217523296,0.029557320354570562,0.8613587525993428,140,138
Puch,X190511_76F,0.041895240164400806,0.0022788556395790796,0.044174095803979886,0.8489604414580441,140,138
Puch,X190511_25F,0.040146051253556345,0.012721032703864928,0.052867083957421276,0.841355966264313,140,138
Puch,X190511_86F,0.12001032453866249,-0.005220217970998171,0.11479010656766432,0.7823546506330755,140,138
Puch,X190511_38F,0.12322987366920482,0.06358708269660127,0.18681695636580609,0.7036708397257828,140,138
Puch,X190511_81F,0.059737993416150215,0.024220252392437747,0.08395824580858796,0.8127752189010041,140,138
Puch,X190511_32F,0.029028075415499233,-0.08007319138695938,-0.05104511597146015,0.9206962675894749,140,138
Puch,X190511_72F,0.06760029719266011,-0.02785921055698849,0.03974108663567162,0.8527722923798088,140,138
Puch,X190511_46F,0.16587912175723046,-0.039313132452739805,0.12656598930449064,0.7702058199341337,140,138
Puch,X190511_79F,0.2474615868936971,0.0895591568464147,0.3370207437401118,0.5095927929292217,140,138
Puch,X190511_70F,0.08933317547217715,0.016945234842997897,0.10627841031517504,0.790955226553168,140,138
Puch,X190511_68F,0.21594983796795902,0.018228117693209055,0.23417795566116809,0.6465358267348122,140,138
Puch,X190511_74F,0.0691494878526497,-0.1188281396228709,-0.04967865177022121,0.9198211052439259,140,138
Puch,X190511_55F,-0.01616731821631404,-0.02765910655044584,-0.04382642476675988,0.916021010026918,140,138
Puch,X190511_45F,0.14543026698035588,0.013075675166658904,0.1585059421470148,0.7358272595870838,140,138
Puch,X190511_13F,-0.004765911689042215,-0.07418262995642358,-0.07894854164546579,0.9375540373252949,140,138
Puch,X190511_41F,0.07002023889962279,-0.06352242531273929,0.006497813586883505,0.879913431391132,140,138
Puch,X190511_10F,0.13132866893049372,0.02506205494973169,0.1563907238802254,0.7381671974161665,140,138
Puch,X190511_7F,0.04972870152321786,-0.007193845735667681,0.042534855787550174,0.8503752075424371,140,138
Puch,X190511_8F,0.16065321947762676,0.042042308447151865,0.20269552792477863,0.6849697668043714,140,138
Puch,X190511_33F,0.03327773804336151,-0.05591402779617471,-0.022636289752813198,0.9015609399984789,140,138
Puch,X190511_87F,-0.027940091487231186,-0.1003439263903073,-0.1282840178775385,0.96255589964705,140,138
Puch,X190511_60F,-0.09122071285839307,-0.10420812741508434,-0.1954288402734774,0.9864803719593013,140,138
Puch,X190511_84F,0.09432115170322726,-0.022955192303721155,0.0713659593995061,0.8246085927579286,140,138
Puch,X190511_85F,0.163569220022333,0.014570859806325916,0.17814007982865893,0.7136900699014667,140,138
Puch,X190511_56F,0.11778571359027189,-0.03702193419647007,0.08076377939380182,0.8158100431369628,140,138
Puch,X190511_63F,0.14510433727758842,0.0037595475276598015,0.14886388480524823,0.7464217363352784,140,138
Puch,X190511_44F,-0.04097516159190961,-0.05783099849717622,-0.09880616008908583,0.9483620710032603,140,138
Puch,X190511_35F,0.06826208672328804,0.008108276598953485,0.07637036332224152,0.8199474562891526,140,138
Puch,X190511_67F,0.10461829833363764,0.016621884203963613,0.12124018253760126,0.7757360074666241,140,138
Puch,X190511_75F,0.02771069926380868,0.002520460391787774,0.030231159655596456,0.8607979709428344,140,138
Puch,X190511_78F,0.06777690729796663,-0.008083897717818247,0.059693009580148386,0.8352653135204371,140,138
Puch,X190511_80F,0.28327758202634107,0.0456415287529313,0.3289191107792724,0.520956756539952,140,138
Puch,X190511_82F,0.0238551815330814,-0.02332514907435724,0.0005300324587241625,0.884512254540093,140,138
Puch,X190511_36F,0.12132073968557687,-0.05775963001909555,0.06356110966648132,0.8317675494527478,140,138
Puch,X190511_17F,0.08102335814480262,-0.053063007589697626,0.02796035055510499,0.8626835956514552,140,138
