cohort,signature,method,auroc_raw,auroc_partialled,delta,corr_with_gep,corr_with_infiltration
Mariathasan,iDC_Bindea_et_al,ssgsea,0.4145825995068686,0.3759246213455442,-0.03865797816132438,0.42375485909402494,0.6686017864198142
Mariathasan,pDCs_Rooney_et_al,ssgsea,0.5384818598097921,0.5653399084184572,0.02685804860866503,0.8686606935115446,0.9106598660449003
Braun,T_cell_inflamed_GEP_Ayers_et_al,ssgsea,0.5265123226288275,0.467513069454817,-0.0589992531740105,0.9999999999999998,0.7598719552224228
Braun,IFNG_6gene_Ayers,ssgsea,0.4812048792631317,0.42419716206123975,-0.05700771720189196,0.8132209035352427,0.6998642359755803
Braun,Cytolytic_Activity_Rooney_et_al,ssgsea,0.5314911625591238,0.4707493154095096,-0.06074184714961417,0.7912633178228449,0.7183531281833564
Braun,Chemokine12_Messina,ssgsea,0.4879263131690316,0.4391336818521285,-0.048792631316903146,0.5537680368260013,0.5817655722595003
Braun,TLS_Cabrita,ssgsea,0.46601941747572817,0.45531491162559123,-0.010704505850136936,0.353741963743494,0.4141255235068274
Braun,TLS_12chemokine_Prabhakaran,ssgsea,0.4879263131690316,0.4391336818521285,-0.048792631316903146,0.5537680368260013,0.5817655722595003
Braun,Roh_immune,ssgsea,0.5332337565347274,0.5240229026636793,-0.00921085387104803,0.8299344219486622,0.8448535898472073
Braun,MHC_I,ssgsea,0.5504107542942495,0.5414488424197162,-0.008961911874533213,0.6611346579829284,0.6540730750602114
Braun,MHC_II,ssgsea,0.5466766243465273,0.5302464525765497,-0.01643017176997763,0.6123653143961233,0.7059754398977398
Braun,PDL1_CD274,ssgsea,0.5614886731391586,0.5636046801095345,0.002116006970375839,0.2180405870315701,-0.02423062575099914
Braun,PDCD1,ssgsea,0.5060990789146129,0.4695046054269355,-0.036594473487677415,0.50848306445944,0.3644616846728178
Braun,CTLA4,ssgsea,0.5044809559372666,0.4695046054269355,-0.0349763505103311,0.44903604282402376,0.4930520779765597
Braun,APM,ssgsea,0.5292506845904904,0.5118247448344536,-0.01742593975603679,0.6577324328486978,0.6531665583958813
Braun,Antigen_Processing_and_Presentation_Li_et_al,ssgsea,0.4682598954443615,0.44759770973363205,-0.02066218571072942,0.44056162800408316,0.5063341724143707
Braun,Antimicrobials_Li_et_al,ssgsea,0.52974856858352,0.5105800348518795,-0.019168533731640514,0.39194151989526343,0.6261874258385777
Braun,BCR_Signaling_Pathway_Li_et_al,ssgsea,0.5197908887229276,0.5481702763256161,0.028379387602688544,0.5370865891642812,0.6995617085845945
Braun,B_cells_Bindea_et_al,ssgsea,0.4817027632561613,0.45780433159073936,-0.023898431665421938,0.49519514558007366,0.5564289957398182
Braun,B_cells_Rooney_et_al,ssgsea,0.504605426935524,0.4707493154095096,-0.03385611152601442,0.47956641384312687,0.5203817178766575
Braun,CAF_Peng_et_al,ssgsea,0.44187204381379136,0.44187204381379136,0.0,0.005839403886149375,-0.21364370753691495
Braun,CD8_Rooney_et_al,ssgsea,0.49688822504356484,0.4368932038834951,-0.05999502116006972,0.8063548326307025,0.7237907123188894
Braun,CD8_T_cells_Bindea_et_al,ssgsea,0.5760517799352751,0.5665919840677123,-0.009459795867562848,0.38876181352611955,0.4299803224027694
Braun,CD_8_T_effector,ssgsea,0.4996265870052278,0.4214588000995768,-0.07816778690565096,0.8390064590910572,0.7934621024367661
Braun,CellCycle_Reg,ssgsea,0.44336569579288027,0.4568085636046801,0.013442867811799819,-0.28545556653879933,-0.29826620744169535
Braun,Cell_cycle,ssgsea,0.500622354991287,0.5120736868309684,0.011451331839681389,-0.39854650343884274,-0.3801971802054368
Braun,Chemokine_Receptors_Li_et_al,ssgsea,0.4719940253920836,0.4202140901170027,-0.0517799352750809,0.5622933930043906,0.6830781058347335
Braun,Chemokines_Li_et_al,ssgsea,0.5319890465521534,0.508588498879761,-0.023400547672392413,0.27661478873658796,0.48781195167842467
Braun,Co_inhibition_APC_Rooney_et_al,ssgsea,0.5648493900921085,0.5476723923325865,-0.017176997759522084,0.4957160962455152,0.39421045671937294
Braun,Co_inhibition_T_cell_Rooney_et_al,ssgsea,0.4921583271097834,0.4485934777196913,-0.043564849390092086,0.7010020244697566,0.5674637072479572
Braun,Co_stimulation_APC_Rooney_et_al,ssgsea,0.5324869305451829,0.5359721184963904,0.003485187951207447,0.4816723472067924,0.39349159502384345
Braun,Co_stimulation_T_cell_Rooney_et_al,ssgsea,0.5058501369180981,0.47672392332586505,-0.029126213592233052,0.628254446859114,0.5853817871855994
Braun,Cytokine_Receptors_Li_et_al,ssgsea,0.49838187702265374,0.46552153348269854,-0.032860343539955206,0.3331037533985047,0.45479083107531576
Braun,Cytokines_Li_et_al,ssgsea,0.4963903410505352,0.4901667911376649,-0.006223549912870274,0.17448714571416518,0.20094501694646752
Braun,Cytotoxic_cells_Bindea_et_al,ssgsea,0.5068459049041574,0.46128951954194675,-0.04555638536221063,0.7812418689276823,0.7343424943361575
Braun,DC_Bindea_et_al,ssgsea,0.5028628329599203,0.48244958924570575,-0.020413243714214546,0.1995882705322752,0.2963264797581975
Braun,DDR,ssgsea,0.49937764500871296,0.5031117749564351,0.0037341299477221535,-0.25045493553450726,-0.26805117383043203
Braun,EMT1,ssgsea,0.5529001742593975,0.5538959422454568,0.0009957679860592705,0.12680269178012377,0.36315137448459806
Braun,EMT2,ssgsea,0.438386855862584,0.4443614637789395,0.005974607916355457,-0.006308513050910829,-0.09217252808513272
Braun,EMT3,ssgsea,0.4592979835698282,0.4545680856360468,-0.004729897933781424,0.15646093661880214,0.17752096198057668
Braun,EV_Cell_2020,ssgsea,0.5426935524022902,0.5262633806323127,-0.01643017176997752,0.18924605128568517,0.3381056179178071
Braun,Eosinophils_Bindea_et_al,ssgsea,0.45083395568832463,0.44884241971620614,-0.0019915359721184855,-0.04331029263610686,0.0917912998031263
Braun,Exhausted_CD8_Danaher_et_al,ssgsea,0.4548170276325616,0.4672641274583022,0.012447099825740604,-0.6919017747135447,-0.6617305212962205
Braun,Ferroptosis,ssgsea,0.4764749813293503,0.4630321135175504,-0.013442867811799875,0.11366201386920656,0.2697891671179754
Braun,GPAGs,ssgsea,0.3283544934030371,0.3308439133681852,0.002489419965148121,-0.09318840290581877,-0.38611440641073846
Braun,Histones,ssgsea,0.5210355987055016,0.5257654966392831,0.004729897933781424,-0.3345209426532761,-0.31902825470283347
Braun,Homologous_recombination,ssgsea,0.5623599701269604,0.5670898680607418,0.004729897933781424,-0.21616753364020325,-0.14778021854263085
Braun,ICB_resistance_Peng_et_al,ssgsea,0.4752302713467762,0.5115758028379388,0.0363455314911626,-0.6218144601732029,-0.8605010008587478
Braun,Immune_Checkpoint,ssgsea,0.4831964152352502,0.43191436395319893,-0.051282051282051266,0.7940520496420268,0.579348792790636
Braun,Interferon_Receptor_Li_et_al,ssgsea,0.5451829723674384,0.5434403783918347,-0.0017425939756037234,0.27313915912800907,0.4153178969674331
Braun,Interferons_Li_et_al,ssgsea,0.47025143141647996,0.4787154592979836,0.008464027881503633,-0.187855983125446,-0.22760371776822094
Braun,Interleukins_Li_et_al,ssgsea,0.5080906148867314,0.49937764500871296,-0.008712969878018395,0.24893599417664958,0.2289798451655058
Braun,Interleukins_Receptor_Li_et_al,ssgsea,0.5715708239980085,0.5650983320886234,-0.006472491909385147,0.40829942923978196,0.5908748993630287
Braun,Lymph_vessels_Bindea_et_al,ssgsea,0.4276823500124471,0.4279312920089619,0.00024894199651481763,0.023732539807840212,-0.03784548997790555
Braun,MDSC_Peng_et_al,ssgsea,0.49066467513069456,0.502116006970376,0.011451331839681389,-0.24362004543482,-0.22673346056079174
Braun,MDSC_Wang_et_al,ssgsea,0.4876773711725168,0.45979586756285784,-0.027881503609658964,-0.4295486287285127,-0.6504172019239236
Braun,MHC_Class_I_Rooney_et_al,ssgsea,0.5175504107542942,0.49464774707493153,-0.022902663679362667,0.6349884855617793,0.6549541849188452
Braun,MT_exosome,ssgsea,0.5581279561862086,0.5399551904406273,-0.018172765745581243,0.19198538289028289,0.32750616010534617
Braun,Macrophages_Bindea_et_al,ssgsea,0.48369429922827983,0.5051033109285537,0.021409011700273817,-0.22995449120949846,-0.5390084411454646
Braun,Macrophages_Rooney_et_al,ssgsea,0.5474234503360716,0.5633557381130196,0.015932287776947995,-0.20885587944014353,-0.36496055212406137
