signature,label,collection,n_genes,direction,pmid,reference,upstream_source,gene_set_key
PPAGs,PPAGs,iobr,27,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,3bb1f7a7aea2dd72
Pan_F_TBRs,Pan F TBRs,iobr,19,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,959588d4d17d01ac
Positive_regulation_of_exosomal_secretion,Positive regulation of exosomal secretion,iobr,14,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,37e7d2cfcbec874c
SW480_cancer_cells_Bindea_et_al,SW480 cancer cells Bindea et al,iobr,37,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,1d774d69b6a1a5e6
TAM_Peng_et_al,TAM Peng et al,iobr,50,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,0637e596e5d44f04
TCR_signaling_Pathway_Li_et_al,TCR signaling Pathway Li et al,iobr,92,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,3345a18a884c20d0
TFH_Bindea_et_al,TFH Bindea et al,iobr,32,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,6cc067fbfe2f19fe
TGFb_Family_Member_Li_et_al,TGFb Family Member Li et al,iobr,33,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,02141aeb9cbf5c83
TGFb_Family_Member_Receptor_Li_et_al,TGFb Family Member Receptor Li et al,iobr,12,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,e3dc8591044ce425
TMEscoreA_CIR,TMEscoreA CIR,iobr,64,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,2ed4207aed4dd757
TMEscoreB_CIR,TMEscoreB CIR,iobr,179,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,c033fd3875de7cd8
TNF_Family_Members_Li_et_al,TNF Family Members Li et al,iobr,12,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,bd41f40a1b808556
TNF_Family_Members_Receptors_Li_et_al,TNF Family Members Receptors Li et al,iobr,19,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,08d54983d6f3f46c
T_cell_accumulation_Peng_et_al,T cell accumulation Peng et al,iobr,17,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,509549327d916ea6
T_cell_exhaustion_Peng_et_al,T cell exhaustion Peng et al,iobr,50,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,8b0271436ecca45f
T_cell_regulatory_Peng_et_al,T cell regulatory Peng et al,iobr,50,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,ec4ef17bb17003e1
T_cells_Bindea_et_al,T cells Bindea et al,iobr,18,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,d9297ea39dbc83a3
T_helper_cells_Bindea_et_al,T helper cells Bindea et al,iobr,23,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,0523219f5060faa2
Tcm_Bindea_et_al,Tcm Bindea et al,iobr,39,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,7d19fad86c7e1532
Tem_Bindea_et_al,Tem Bindea et al,iobr,15,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,4c4c18e48445c114
Tgd_Bindea_et_al,Tgd Bindea et al,iobr,6,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,982755ecf5ccbb46
Th17_cells_Bindea_et_al,Th17 cells Bindea et al,iobr,3,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,cd64f4fed11806d3
Th1_cells_Bindea_et_al,Th1 cells Bindea et al,iobr,27,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,ced4b0a10f033d0e
Th2_cells_Bindea_et_al,Th2 cells Bindea et al,iobr,27,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,7e74823717e49524
Treg_Rooney_et_al,Treg Rooney et al,iobr,7,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,1c749e1db9ecf1c9
Type_II_IFN_Reponse_Rooney_et_al,Type II IFN Reponse Rooney et al,iobr,3,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,26640eebdf2cfd36
Type_I_IFN_Reponse_Rooney_et_al,Type I IFN Reponse Rooney et al,iobr,10,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,4d63cb742bfc1703
WNT_target,WNT target,iobr,4,-1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,b84c96efd5f4fe84
aDC_Bindea_et_al,aDC Bindea et al,iobr,5,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,66ae003f3efa113c
iDC_Bindea_et_al,iDC Bindea et al,iobr,31,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,8b3981334503133f
pDCs_Rooney_et_al,pDCs Rooney et al,iobr,10,1,,"Zeng D, et al. IOBR. Front Immunol 2021;12:687975.",IOBR/IOBR:data/signature_collection.rda,a0ded04b680800de
